 _ _ _ _| _ _ _ _| _ _ _*_| _ _ _12_|,D
 _ _ _ _| _ _o_o_| _7_ _8_|*_ _ _ _|,R
 _ _ _ _| _ _o_o_| _7_*_ _| _ _ _8_|,R
 _ _ _ _| _ _o_o_| _7_*_ _| _ _8_ _|,D
 _ _ _ _| _ _o_o_| _7_*_ _| _8_ _ _|,L
 _ _ _ _| _ _o_o_| _7_*_ _|8_ _ _ _|,L
 _ _ _ _| _ _o_o_| _7_*_8_| _ _ _ _|,R
 _ _ _ _| _ _o_o_| _7_8_ _| _ _ _*_|,U
 _ _ _ _| _ _o_o_| _7_8_ _| _ _*_ _|,R
 _ _ _ _| _ _o_o_| _7_8_ _| _*_ _ _|,R
 _ _ _ _| _ _o_o_| _7_8_ _|*_ _ _ _|,R
 _ _ _ _| _ _o_o_| _7_8_*_| _ _ _ _|,U
 _ _ _ _| _ _o_o_| _8_ _ _| _ _*_7_|,U
 _ _ _ _| _ _o_o_| _8_ _ _| _ _7_*_|,L
 _ _ _ _| _ _o_o_| _8_ _ _| _*_ _7_|,R
 _ _ _ _| _ _o_o_| _8_ _ _| _*_7_ _|,R
 _ _ _ _| _ _o_o_| _8_ _ _| _7_ _*_|,L
 _ _ _ _| _ _o_o_| _8_ _ _| _7_*_ _|,U
 _ _ _ _| _ _o_o_| _8_ _ _|*_ _ _7_|,R
 _ _ _ _| _ _o_o_| _8_ _ _|*_ _7_ _|,R
 _ _ _ _| _ _o_o_| _8_ _ _|*_7_ _ _|,R
 _ _ _ _| _ _o_o_| _8_ _ _|7_ _ _*_|,L
 _ _ _ _| _ _o_o_| _8_ _ _|7_ _*_ _|,U
 _ _ _ _| _ _o_o_| _8_ _ _|7_*_ _ _|,R
 _ _ _ _| _ _o_o_| _8_ _*_| _ _ _7_|,L
 _ _ _ _| _ _o_o_| _8_ _*_| _ _7_ _|,D
 _ _ _ _| _ _o_o_| _8_ _*_| _7_ _ _|,L
 _ _ _ _| _ _o_o_| _8_ _*_|7_ _ _ _|,L
 _ _ _ _| _ _o_o_| _8_ _7_| _ _ _*_|,L
 _ _ _ _| _ _o_o_| _8_ _7_| _ _*_ _|,U
 _ _ _ _| _ _o_o_| _8_ _7_| _*_ _ _|,R
 _ _ _ _| _ _o_o_| _8_ _7_|*_ _ _ _|,R
 _ _ _ _| _ _o_o_| _8_*_ _| _ _ _7_|,L
 _ _ _ _| _ _o_o_| _8_*_ _| _ _7_ _|,D
 _ _ _ _| _ _o_o_| _8_*_ _| _7_ _ _|,L
 _ _ _ _| _ _o_o_| _8_*_ _|7_ _ _ _|,L
 _ _ _ _| _ _o_o_| _8_*_7_| _ _ _ _|,U
 _ _ _ _| _ _o_o_| _8_7_ _| _ _ _*_|,U
 _ _ _ _| _ _o_o_| _8_7_ _| _ _*_ _|,R
 _ _ _ _| _ _o_o_| _8_7_ _| _*_ _ _|,R
 _ _ _ _| _ _o_o_| _8_7_ _|*_ _ _ _|,R
 _ _ _ _| _ _o_o_| _8_7_*_| _ _ _ _|,L
 _ _ _ _| _ _o_o_|*_ _ _ _| _ _7_8_|,R
 _ _ _ _| _ _o_o_|*_ _ _ _| _ _8_7_|,R
 _ _ _ _| _ _o_o_|*_ _ _ _| _7_ _8_|,R
 _ _ _ _| _ _o_o_|*_ _ _ _| _7_8_ _|,R
 _ _ _ _| _ _o_o_|*_ _ _ _| _8_ _7_|,R
 _ _ _ _| _ _o_o_|*_ _ _ _| _8_7_ _|,R
 _ _ _ _| _ _o_o_|*_ _ _ _|7_ _ _8_|,R
 _ _ _ _| _ _o_o_|*_ _ _ _|7_ _8_ _|,R
 _ _ _ _| _ _o_o_|*_ _ _ _|7_8_ _ _|,R
 _ _ _ _| _ _o_o_|*_ _ _ _|8_ _ _7_|,D
 _ _ _ _| _ _o_o_|*_ _ _ _|8_ _7_ _|,D
 _ _ _ _| _ _o_o_|*_ _ _ _|8_7_ _ _|,R
 _ _ _ _| _ _o_o_|*_ _ _7_| _ _ _8_|,R
 _ _ _ _| _ _o_o_|*_ _ _7_| _ _8_ _|,R
 _ _ _ _| _ _o_o_|*_ _ _7_| _8_ _ _|,R
 _ _ _ _| _ _o_o_|*_ _ _7_|8_ _ _ _|,D
 _ _ _ _| _ _o_o_|*_ _ _8_| _ _ _7_|,R
 _ _ _ _| _ _o_o_|*_ _ _8_| _ _7_ _|,R
 _ _ _ _| _ _o_o_|*_ _ _8_| _7_ _ _|,R
 _ _ _ _| _ _o_o_|*_ _ _8_|7_ _ _ _|,D
 _ _ _ _| _ _o_o_|*_ _7_ _| _ _ _8_|,R
 _ _ _ _| _ _o_o_|*_ _7_ _| _ _8_ _|,R
 _ _ _ _| _ _o_o_|*_ _7_ _| _8_ _ _|,R
 _ _ _ _| _ _o_o_|*_ _7_ _|8_ _ _ _|,D
 _ _ _ _| _ _o_o_|*_ _7_8_| _ _ _ _|,R
 _ _ _ _| _ _o_o_|*_ _8_ _| _ _ _7_|,R
 _ _ _ _| _ _o_o_|*_ _8_ _| _ _7_ _|,R
 _ _ _ _| _ _o_o_|*_ _8_ _| _7_ _ _|,R
 _ _ _ _| _ _o_o_|*_ _8_ _|7_ _ _ _|,D
 _ _ _ _| _ _o_o_|*_ _8_7_| _ _ _ _|,R
 _ _ _ _| _ _o_o_|*_7_ _ _| _ _ _8_|,D
 _ _ _ _| _ _o_o_|*_7_ _ _| _ _8_ _|,D
 _ _ _ _| _ _o_o_|*_7_ _ _| _8_ _ _|,R
 _ _ _ _| _ _o_o_|*_7_ _ _|8_ _ _ _|,D
 _ _ _ _| _ _o_o_|*_7_ _8_| _ _ _ _|,D
 _ _ _ _| _ _o_o_|*_7_8_ _| _ _ _ _|,D
 _ _ _ _| _ _o_o_|*_8_ _ _| _ _ _7_|,D
 _ _ _ _| _ _o_o_|*_8_ _ _| _ _7_ _|,D
 _ _ _ _| _ _o_o_|*_8_ _ _| _7_ _ _|,D
 _ _ _ _| _ _o_o_|*_8_ _ _|7_ _ _ _|,D
 _ _ _ _| _ _o_o_|*_8_ _7_| _ _ _ _|,D
 _ _ _ _| _ _o_o_|*_8_7_ _| _ _ _ _|,D
 _ _ _ _| _ _o_o_|7_ _ _ _| _ _*_8_|,U
 _ _ _ _| _ _o_o_|7_ _ _ _| _ _8_*_|,U
 _ _ _ _| _ _o_o_|7_ _ _ _| _*_ _8_|,U
 _ _ _ _| _ _o_o_|7_ _ _ _| _*_8_ _|,U
 _ _ _ _| _ _o_o_|7_ _ _ _| _8_ _*_|,L
 _ _ _ _| _ _o_o_|7_ _ _ _| _8_*_ _|,L
 _ _ _ _| _ _o_o_|7_ _ _ _|*_ _ _8_|,R
 _ _ _ _| _ _o_o_|7_ _ _ _|*_ _8_ _|,R
 _ _ _ _| _ _o_o_|7_ _ _ _|*_8_ _ _|,U
 _ _ _ _| _ _o_o_|7_ _ _ _|8_ _ _*_|,L
 _ _ _ _| _ _o_o_|7_ _ _ _|8_ _*_ _|,L
 _ _ _ _| _ _o_o_|7_ _ _ _|8_*_ _ _|,L
 _ _ _ _| _ _o_o_|7_ _ _*_| _ _ _8_|,D
 _ _ _ _| _ _o_o_|7_ _ _*_| _ _8_ _|,L
 _ _ _ _| _ _o_o_|7_ _ _*_| _8_ _ _|,D
 _ _ _ _| _ _o_o_|7_ _ _*_|8_ _ _ _|,L
 _ _ _ _| _ _o_o_|7_ _ _8_| _ _ _*_|,L
 _ _ _ _| _ _o_o_|7_ _ _8_| _ _*_ _|,U
 _ _ _ _| _ _o_o_|7_ _ _8_| _*_ _ _|,U
 _ _ _ _| _ _o_o_|7_ _ _8_|*_ _ _ _|,R
 _ _ _ _| _ _o_o_|7_ _*_ _| _ _ _8_|,L
 _ _ _ _| _ _o_o_|7_ _*_ _| _ _8_ _|,D
 _ _ _ _| _ _o_o_|7_ _*_ _| _8_ _ _|,L
 _ _ _ _| _ _o_o_|7_ _*_ _|8_ _ _ _|,L
 _ _ _ _| _ _o_o_|7_ _*_8_| _ _ _ _|,L
 _ _ _ _| _ _o_o_|7_ _8_ _| _ _ _*_|,U
 _ _ _ _| _ _o_o_|7_ _8_ _| _ _*_ _|,L
 _ _ _ _| _ _o_o_|7_ _8_ _| _*_ _ _|,U
 _ _ _ _| _ _o_o_|7_ _8_ _|*_ _ _ _|,R
 _ _ _ _| _ _o_o_|7_ _8_*_| _ _ _ _|,U
 _ _ _ _| _ _o_o_|7_*_ _ _| _ _ _8_|,L
 _ _ _ _| _ _o_o_|7_*_ _ _| _ _8_ _|,R
 _ _ _ _| _ _o_o_|7_*_ _ _| _8_ _ _|,D
 _ _ _ _| _ _o_o_|7_*_ _ _|8_ _ _ _|,L
 _ _ _ _| _ _o_o_|7_*_ _8_| _ _ _ _|,L
 _ _ _ _| _ _o_o_|7_*_8_ _| _ _ _ _|,L
 _ _ _ _| _ _o_o_|7_8_ _ _| _ _ _*_|,L
 _ _ _ _| _ _o_o_|7_8_ _ _| _ _*_ _|,U
 _ _ _ _| _ _o_o_|7_8_ _ _| _*_ _ _|,R
 _ _ _ _| _ _o_o_|7_8_ _ _|*_ _ _ _|,R
 _ _ _ _| _ _o_o_|7_8_ _*_| _ _ _ _|,L
 _ _ _ _| _ _o_o_|7_8_*_ _| _ _ _ _|,L
 _ _ _ _| _ _o_o_|8_ _ _ _| _ _*_7_|,L
 _ _ _ _| _ _o_o_|8_ _ _ _| _ _7_*_|,L
 _ _ _ _| _ _o_o_|8_ _ _ _| _*_ _7_|,U
 _ _ _ _| _ _o_o_|8_ _ _ _| _*_7_ _|,U
 _ _ _ _| _ _o_o_|8_ _ _ _| _7_ _*_|,L
 _ _ _ _| _ _o_o_|8_ _ _ _| _7_*_ _|,L
 _ _ _ _| _ _o_o_|8_ _ _ _|*_ _ _7_|,R
 _ _ _ _| _ _o_o_|8_ _ _ _|*_ _7_ _|,R
 _ _ _ _| _ _o_o_|8_ _ _ _|*_7_ _ _|,R
 _ _ _ _| _ _o_o_|8_ _ _ _|7_ _ _*_|,L
 _ _ _ _| _ _o_o_|8_ _ _ _|7_ _*_ _|,U
 _ _ _ _| _ _o_o_|8_ _ _ _|7_*_ _ _|,U
 _ _ _ _| _ _o_o_|8_ _ _*_| _ _ _7_|,L
 _ _ _ _| _ _o_o_|8_ _ _*_| _ _7_ _|,L
 _ _ _ _| _ _o_o_|8_ _ _*_| _7_ _ _|,L
 _ _ _ _| _ _o_o_|8_ _ _*_|7_ _ _ _|,L
 _ _ _ _| _ _o_o_|8_ _ _7_| _ _ _*_|,L
 _ _ _ _| _ _o_o_|8_ _ _7_| _ _*_ _|,U
 _ _ _ _| _ _o_o_|8_ _ _7_| _*_ _ _|,U
 _ _ _ _| _ _o_o_|8_ _ _7_|*_ _ _ _|,R
 _ _ _ _| _ _o_o_|8_ _*_ _| _ _ _7_|,L
 _ _ _ _| _ _o_o_|8_ _*_ _| _ _7_ _|,L
 _ _ _ _| _ _o_o_|8_ _*_ _| _7_ _ _|,D
 _ _ _ _| _ _o_o_|8_ _*_ _|7_ _ _ _|,L
 _ _ _ _| _ _o_o_|8_ _*_7_| _ _ _ _|,L
 _ _ _ _| _ _o_o_|8_ _7_ _| _ _ _*_|,U
 _ _ _ _| _ _o_o_|8_ _7_ _| _ _*_ _|,L
 _ _ _ _| _ _o_o_|8_ _7_ _| _*_ _ _|,U
 _ _ _ _| _ _o_o_|8_ _7_ _|*_ _ _ _|,R
 _ _ _ _| _ _o_o_|8_ _7_*_| _ _ _ _|,L
 _ _ _ _| _ _o_o_|8_*_ _ _| _ _ _7_|,L
 _ _ _ _| _ _o_o_|8_*_ _ _| _ _7_ _|,L
 _ _ _ _| _ _o_o_|8_*_ _ _| _7_ _ _|,D
 _ _ _ _| _ _o_o_|8_*_ _ _|7_ _ _ _|,L
 _ _ _ _| _ _o_o_|8_*_ _7_| _ _ _ _|,L
 _ _ _ _| _ _o_o_|8_*_7_ _| _ _ _ _|,L
 _ _ _ _| _ _o_o_|8_7_ _ _| _ _ _*_|,L
 _ _ _ _| _ _o_o_|8_7_ _ _| _ _*_ _|,U
 _ _ _ _| _ _o_o_|8_7_ _ _| _*_ _ _|,R
 _ _ _ _| _ _o_o_|8_7_ _ _|*_ _ _ _|,R
 _ _ _ _| _ _o_o_|8_7_ _*_| _ _ _ _|,L
 _ _ _ _| _ _o_o_|8_7_*_ _| _ _ _ _|,L
 _ _ _ _|*_5_ _ _| _ _ _ _| _ _ _6_|,R
 _ _ _ _|*_5_ _ _| _ _ _ _| _ _6_ _|,R
 _ _ _ _|*_5_ _ _| _ _ _ _| _6_ _ _|,R
 _ _ _ _|*_5_ _ _| _ _ _ _|6_ _ _ _|,D
 _ _ _ _|*_5_ _ _| _ _ _6_| _ _ _ _|,R
 _ _ _ _|*_5_ _ _| _ _6_ _| _ _ _ _|,R
 _ _ _ _|*_5_ _ _| _6_ _ _| _ _ _ _|,R
 _ _ _ _|*_5_ _ _|6_ _ _ _| _ _ _ _|,R
 _ _ _ _|*_5_ _6_| _ _ _ _| _ _ _ _|,R
 _ _ _ _|*_5_6_ _| _ _ _ _| _ _ _ _|,R
 _ _ _ _|*_6_ _ _| _ _ _ _| _ _ _5_|,D
 _ _ _ _|*_6_ _ _| _ _ _ _| _ _5_ _|,R
 _ _ _ _|*_6_ _ _| _ _ _ _| _5_ _ _|,R
 _ _ _ _|*_6_ _ _| _ _ _ _|5_ _ _ _|,R
 _ _ _ _|*_6_ _ _| _ _ _5_| _ _ _ _|,D
 _ _ _ _|*_6_ _ _| _ _5_ _| _ _ _ _|,D
 _ _ _ _|*_6_ _ _| _5_ _ _| _ _ _ _|,D
 _ _ _ _|*_6_ _ _|5_ _ _ _| _ _ _ _|,D
 _ _ _ _|*_6_ _5_| _ _ _ _| _ _ _ _|,D
 _ _ _ _|*_6_5_ _| _ _ _ _| _ _ _ _|,D
 _ _ _ _|*_o_ _ _| _ _ _ _| _ _5_6_|,D
 _ _ _ _|*_o_ _ _| _ _ _ _| _ _6_5_|,D
 _ _ _ _|*_o_ _ _| _ _ _ _| _5_ _6_|,D
 _ _ _ _|*_o_ _ _| _ _ _ _| _5_6_ _|,D
 _ _ _ _|*_o_ _ _| _ _ _ _| _6_ _5_|,D
 _ _ _ _|*_o_ _ _| _ _ _ _| _6_5_ _|,D
 _ _ _ _|*_o_ _ _| _ _ _ _|5_ _ _6_|,D
 _ _ _ _|*_o_ _ _| _ _ _ _|5_ _6_ _|,D
 _ _ _ _|*_o_ _ _| _ _ _ _|5_6_ _ _|,D
 _ _ _ _|*_o_ _ _| _ _ _ _|6_ _ _5_|,D
 _ _ _ _|*_o_ _ _| _ _ _ _|6_ _5_ _|,D
 _ _ _ _|*_o_ _ _| _ _ _ _|6_5_ _ _|,D
 _ _ _ _|*_o_ _ _| _ _ _5_| _ _ _6_|,R
 _ _ _ _|*_o_ _ _| _ _ _5_| _ _6_ _|,R
 _ _ _ _|*_o_ _ _| _ _ _5_| _6_ _ _|,R
 _ _ _ _|*_o_ _ _| _ _ _5_|6_ _ _ _|,D
 _ _ _ _|*_o_ _ _| _ _ _6_| _ _ _5_|,R
 _ _ _ _|*_o_ _ _| _ _ _6_| _ _5_ _|,R
 _ _ _ _|*_o_ _ _| _ _ _6_| _5_ _ _|,D
 _ _ _ _|*_o_ _ _| _ _ _6_|5_ _ _ _|,D
 _ _ _ _|*_o_ _ _| _ _5_ _| _ _ _6_|,R
 _ _ _ _|*_o_ _ _| _ _5_ _| _ _6_ _|,R
 _ _ _ _|*_o_ _ _| _ _5_ _| _6_ _ _|,R
 _ _ _ _|*_o_ _ _| _ _5_ _|6_ _ _ _|,D
 _ _ _ _|*_o_ _ _| _ _5_6_| _ _ _ _|,R
 _ _ _ _|*_o_ _ _| _ _6_ _| _ _ _5_|,R
 _ _ _ _|*_o_ _ _| _ _6_ _| _ _5_ _|,R
 _ _ _ _|*_o_ _ _| _ _6_ _| _5_ _ _|,D
 _ _ _ _|*_o_ _ _| _ _6_ _|5_ _ _ _|,D
 _ _ _ _|*_o_ _ _| _ _6_5_| _ _ _ _|,R
 _ _ _ _|*_o_ _ _| _5_ _ _| _ _ _6_|,R
 _ _ _ _|*_o_ _ _| _5_ _ _| _ _6_ _|,R
 _ _ _ _|*_o_ _ _| _5_ _ _| _6_ _ _|,R
 _ _ _ _|*_o_ _ _| _5_ _ _|6_ _ _ _|,R
 _ _ _ _|*_o_ _ _| _5_ _6_| _ _ _ _|,R
 _ _ _ _|*_o_ _ _| _5_6_ _| _ _ _ _|,R
 _ _ _ _|*_o_ _ _| _6_ _ _| _ _ _5_|,R
 _ _ _ _|*_o_ _ _| _6_ _ _| _ _5_ _|,R
 _ _ _ _|*_o_ _ _| _6_ _ _| _5_ _ _|,R
 _ _ _ _|*_o_ _ _| _6_ _ _|5_ _ _ _|,D
 _ _ _ _|*_o_ _ _| _6_ _5_| _ _ _ _|,R
 _ _ _ _|*_o_ _ _| _6_5_ _| _ _ _ _|,R
 _ _ _ _|*_o_ _ _|5_ _ _ _| _ _ _6_|,D
 _ _ _ _|*_o_ _ _|5_ _ _ _| _ _6_ _|,D
 _ _ _ _|*_o_ _ _|5_ _ _ _| _6_ _ _|,D
 _ _ _ _|*_o_ _ _|5_ _ _ _|6_ _ _ _|,D
 _ _ _ _|*_o_ _ _|5_ _ _6_| _ _ _ _|,D
 _ _ _ _|*_o_ _ _|5_ _6_ _| _ _ _ _|,D
 _ _ _ _|*_o_ _ _|5_6_ _ _| _ _ _ _|,D
 _ _ _ _|*_o_ _ _|6_ _ _ _| _ _ _5_|,R
 _ _ _ _|*_o_ _ _|6_ _ _ _| _ _5_ _|,D
 _ _ _ _|*_o_ _ _|6_ _ _ _| _5_ _ _|,D
 _ _ _ _|*_o_ _ _|6_ _ _ _|5_ _ _ _|,D
 _ _ _ _|*_o_ _ _|6_ _ _5_| _ _ _ _|,R
 _ _ _ _|*_o_ _ _|6_ _5_ _| _ _ _ _|,R
 _ _ _ _|*_o_ _ _|6_5_ _ _| _ _ _ _|,D
 _ _ _ _|*_o_ _5_| _ _ _ _| _ _ _6_|,D
 _ _ _ _|*_o_ _5_| _ _ _ _| _ _6_ _|,R
 _ _ _ _|*_o_ _5_| _ _ _ _| _6_ _ _|,R
 _ _ _ _|*_o_ _5_| _ _ _ _|6_ _ _ _|,D
 _ _ _ _|*_o_ _5_| _ _ _6_| _ _ _ _|,R
 _ _ _ _|*_o_ _5_| _ _6_ _| _ _ _ _|,R
 _ _ _ _|*_o_ _5_| _6_ _ _| _ _ _ _|,R
 _ _ _ _|*_o_ _5_|6_ _ _ _| _ _ _ _|,R
 _ _ _ _|*_o_ _6_| _ _ _ _| _ _ _5_|,R
 _ _ _ _|*_o_ _6_| _ _ _ _| _ _5_ _|,R
 _ _ _ _|*_o_ _6_| _ _ _ _| _5_ _ _|,R
 _ _ _ _|*_o_ _6_| _ _ _ _|5_ _ _ _|,D
 _ _ _ _|*_o_ _6_| _ _ _5_| _ _ _ _|,R
 _ _ _ _|*_o_ _6_| _ _5_ _| _ _ _ _|,R
 _ _ _ _|*_o_ _6_| _5_ _ _| _ _ _ _|,R
 _ _ _ _|*_o_ _6_|5_ _ _ _| _ _ _ _|,D
 _ _ _ _|*_o_5_ _| _ _ _ _| _ _ _6_|,R
 _ _ _ _|*_o_5_ _| _ _ _ _| _ _6_ _|,R
 _ _ _ _|*_o_5_ _| _ _ _ _| _6_ _ _|,R
 _ _ _ _|*_o_5_ _| _ _ _ _|6_ _ _ _|,R
 _ _ _ _|*_o_5_ _| _ _ _6_| _ _ _ _|,R
 _ _ _ _|*_o_5_ _| _ _6_ _| _ _ _ _|,R
 _ _ _ _|*_o_5_ _| _6_ _ _| _ _ _ _|,R
 _ _ _ _|*_o_5_ _|6_ _ _ _| _ _ _ _|,R
 _ _ _ _|*_o_5_6_| _ _ _ _| _ _ _ _|,R
 _ _ _ _|*_o_6_ _| _ _ _ _| _ _ _5_|,R
 _ _ _ _|*_o_6_ _| _ _ _ _| _ _5_ _|,R
 _ _ _ _|*_o_6_ _| _ _ _ _| _5_ _ _|,R
 _ _ _ _|*_o_6_ _| _ _ _ _|5_ _ _ _|,D
 _ _ _ _|*_o_6_ _| _ _ _5_| _ _ _ _|,R
 _ _ _ _|*_o_6_ _| _ _5_ _| _ _ _ _|,R
 _ _ _ _|*_o_6_ _| _5_ _ _| _ _ _ _|,R
 _ _ _ _|*_o_6_ _|5_ _ _ _| _ _ _ _|,D
 _ _ _ _|*_o_6_5_| _ _ _ _| _ _ _ _|,R
 _ _ _ _|5_*_ _ _| _ _ _ _| _ _ _6_|,D
 _ _ _ _|5_*_ _ _| _ _ _ _| _ _6_ _|,D
 _ _ _ _|5_*_ _ _| _ _ _ _| _6_ _ _|,D
 _ _ _ _|5_*_ _ _| _ _ _ _|6_ _ _ _|,L
 _ _ _ _|5_*_ _ _| _ _ _6_| _ _ _ _|,R
 _ _ _ _|5_*_ _ _| _ _6_ _| _ _ _ _|,D
 _ _ _ _|5_*_ _ _| _6_ _ _| _ _ _ _|,D
 _ _ _ _|5_*_ _ _|6_ _ _ _| _ _ _ _|,D
 _ _ _ _|5_*_ _6_| _ _ _ _| _ _ _ _|,R
 _ _ _ _|5_*_6_ _| _ _ _ _| _ _ _ _|,R
 _ _ _ _|5_6_ _*_| _ _ _ _| _ _ _ _|,L
 _ _ _ _|5_6_*_ _| _ _ _ _| _ _ _ _|,R
 _ _ _ _|5_o_ _ _| _ _ _ _| _ _*_6_|,R
 _ _ _ _|5_o_ _ _| _ _ _ _| _ _6_*_|,U
 _ _ _ _|5_o_ _ _| _ _ _ _| _*_ _6_|,R
 _ _ _ _|5_o_ _ _| _ _ _ _| _*_6_ _|,U
 _ _ _ _|5_o_ _ _| _ _ _ _| _6_ _*_|,L
 _ _ _ _|5_o_ _ _| _ _ _ _| _6_*_ _|,U
 _ _ _ _|5_o_ _ _| _ _ _ _|*_ _ _6_|,R
 _ _ _ _|5_o_ _ _| _ _ _ _|*_ _6_ _|,R
 _ _ _ _|5_o_ _ _| _ _ _ _|*_6_ _ _|,U
 _ _ _ _|5_o_ _ _| _ _ _ _|6_ _ _*_|,L
 _ _ _ _|5_o_ _ _| _ _ _ _|6_ _*_ _|,L
 _ _ _ _|5_o_ _ _| _ _ _ _|6_*_ _ _|,L
 _ _ _ _|5_o_ _ _| _ _ _*_| _ _ _6_|,D
 _ _ _ _|5_o_ _ _| _ _ _*_| _ _6_ _|,L
 _ _ _ _|5_o_ _ _| _ _ _*_| _6_ _ _|,L
 _ _ _ _|5_o_ _ _| _ _ _*_|6_ _ _ _|,L
 _ _ _ _|5_o_ _ _| _ _ _6_| _ _ _*_|,L
 _ _ _ _|5_o_ _ _| _ _ _6_| _ _*_ _|,U
 _ _ _ _|5_o_ _ _| _ _ _6_| _*_ _ _|,U
 _ _ _ _|5_o_ _ _| _ _ _6_|*_ _ _ _|,U
 _ _ _ _|5_o_ _ _| _ _*_ _| _ _ _6_|,D
 _ _ _ _|5_o_ _ _| _ _*_ _| _ _6_ _|,D
 _ _ _ _|5_o_ _ _| _ _*_ _| _6_ _ _|,L
 _ _ _ _|5_o_ _ _| _ _*_ _|6_ _ _ _|,L
 _ _ _ _|5_o_ _ _| _ _*_6_| _ _ _ _|,R
 _ _ _ _|5_o_ _ _| _ _6_ _| _ _ _*_|,L
 _ _ _ _|5_o_ _ _| _ _6_ _| _ _*_ _|,L
 _ _ _ _|5_o_ _ _| _ _6_ _| _*_ _ _|,U
 _ _ _ _|5_o_ _ _| _ _6_ _|*_ _ _ _|,U
 _ _ _ _|5_o_ _ _| _ _6_*_| _ _ _ _|,U
 _ _ _ _|5_o_ _ _| _*_ _ _| _ _ _6_|,R
 _ _ _ _|5_o_ _ _| _*_ _ _| _ _6_ _|,R
 _ _ _ _|5_o_ _ _| _*_ _ _| _6_ _ _|,D
 _ _ _ _|5_o_ _ _| _*_ _ _|6_ _ _ _|,D
 _ _ _ _|5_o_ _ _| _*_ _6_| _ _ _ _|,R
 _ _ _ _|5_o_ _ _| _*_6_ _| _ _ _ _|,R
 _ _ _ _|5_o_ _ _| _6_ _ _| _ _ _*_|,L
 _ _ _ _|5_o_ _ _| _6_ _ _| _ _*_ _|,U
 _ _ _ _|5_o_ _ _| _6_ _ _| _*_ _ _|,R
 _ _ _ _|5_o_ _ _| _6_ _ _|*_ _ _ _|,R
 _ _ _ _|5_o_ _ _| _6_ _*_| _ _ _ _|,L
 _ _ _ _|5_o_ _ _| _6_*_ _| _ _ _ _|,U
 _ _ _ _|5_o_ _ _|*_ _ _ _| _ _ _6_|,R
 _ _ _ _|5_o_ _ _|*_ _ _ _| _ _6_ _|,R
 _ _ _ _|5_o_ _ _|*_ _ _ _| _6_ _ _|,R
 _ _ _ _|5_o_ _ _|*_ _ _ _|6_ _ _ _|,D
 _ _ _ _|5_o_ _ _|*_ _ _6_| _ _ _ _|,R
 _ _ _ _|5_o_ _ _|*_ _6_ _| _ _ _ _|,R
 _ _ _ _|5_o_ _ _|*_6_ _ _| _ _ _ _|,D
 _ _ _ _|5_o_ _ _|6_ _ _ _| _ _ _*_|,L
 _ _ _ _|5_o_ _ _|6_ _ _ _| _ _*_ _|,L
 _ _ _ _|5_o_ _ _|6_ _ _ _| _*_ _ _|,U
 _ _ _ _|5_o_ _ _|6_ _ _ _|*_ _ _ _|,R
 _ _ _ _|5_o_ _ _|6_ _ _*_| _ _ _ _|,L
 _ _ _ _|5_o_ _ _|6_ _*_ _| _ _ _ _|,L
 _ _ _ _|5_o_ _ _|6_*_ _ _| _ _ _ _|,L
 _ _ _ _|5_o_ _*_| _ _ _ _| _ _ _6_|,D
 _ _ _ _|5_o_ _*_| _ _ _ _| _ _6_ _|,L
 _ _ _ _|5_o_ _*_| _ _ _ _| _6_ _ _|,L
 _ _ _ _|5_o_ _*_| _ _ _ _|6_ _ _ _|,L
 _ _ _ _|5_o_ _*_| _ _ _6_| _ _ _ _|,L
 _ _ _ _|5_o_ _*_| _ _6_ _| _ _ _ _|,L
 _ _ _ _|5_o_ _*_| _6_ _ _| _ _ _ _|,L
 _ _ _ _|5_o_ _*_|6_ _ _ _| _ _ _ _|,L
 _ _ _ _|5_o_ _6_| _ _ _ _| _ _ _*_|,U
 _ _ _ _|5_o_ _6_| _ _ _ _| _ _*_ _|,U
 _ _ _ _|5_o_ _6_| _ _ _ _| _*_ _ _|,U
 _ _ _ _|5_o_ _6_| _ _ _ _|*_ _ _ _|,U
 _ _ _ _|5_o_ _6_| _ _ _*_| _ _ _ _|,L
 _ _ _ _|5_o_ _6_| _ _*_ _| _ _ _ _|,U
 _ _ _ _|5_o_ _6_| _*_ _ _| _ _ _ _|,U
 _ _ _ _|5_o_ _6_|*_ _ _ _| _ _ _ _|,R
 _ _ _ _|5_o_*_ _| _ _ _ _| _ _ _6_|,D
 _ _ _ _|5_o_*_ _| _ _ _ _| _ _6_ _|,D
 _ _ _ _|5_o_*_ _| _ _ _ _| _6_ _ _|,L
 _ _ _ _|5_o_*_ _| _ _ _ _|6_ _ _ _|,L
 _ _ _ _|5_o_*_ _| _ _ _6_| _ _ _ _|,D
 _ _ _ _|5_o_*_ _| _ _6_ _| _ _ _ _|,D
 _ _ _ _|5_o_*_ _| _6_ _ _| _ _ _ _|,L
 _ _ _ _|5_o_*_ _|6_ _ _ _| _ _ _ _|,L
 _ _ _ _|5_o_*_6_| _ _ _ _| _ _ _ _|,R
 _ _ _ _|5_o_6_ _| _ _ _ _| _ _ _*_|,U
 _ _ _ _|5_o_6_ _| _ _ _ _| _ _*_ _|,U
 _ _ _ _|5_o_6_ _| _ _ _ _| _*_ _ _|,U
 _ _ _ _|5_o_6_ _| _ _ _ _|*_ _ _ _|,U
 _ _ _ _|5_o_6_ _| _ _ _*_| _ _ _ _|,L
